

                                                                                 
                                                                                 


 Solution Properties:

 Integral  (#/cc)                        =        0.1540D+04
 Log-mean particle diameter (microns)    =        0.9689D+01
 Geometric standard deviation            =        0.7418D+01
 Integral of (f''(x))^2                  =        0.2149D+08


 Smoothing parameter (CGCV)              =        0.3275D-10
 Tolerance used to find target (tol(2))  =        0.2500D+00
 Smoothing choice functional             =        0.5041D+00
 Quadratic functional                    =        0.6103D+00
 Interval of kernel function variance    =      ( 0.2558D+01, 0.4947D+03)
 Dimension of solution vector            =               201

 Lower interval diameter (microns)       =        0.2500D+01

 Upper interval diameter (microns)       =        0.1000D+04


 Number distribution and volume distribution:

 0.5470D+02                   0.0000D+00                    0.0000D+00
 0.5637D+02                   0.0000D+00                    0.0000D+00
 0.5808D+02                   0.0000D+00                    0.0000D+00
 0.5985D+02                   0.0000D+00                    0.0000D+00
 0.6167D+02                   0.0000D+00                    0.0000D+00
 0.6354D+02                   0.0000D+00                    0.0000D+00
 0.6547D+02                   0.0000D+00                    0.0000D+00
 0.6746D+02                   0.0000D+00                    0.0000D+00
 0.6952D+02                   0.0000D+00                    0.0000D+00
 0.7163D+02                   0.0000D+00                    0.0000D+00
 0.7381D+02                   0.0000D+00                    0.0000D+00
 0.7605D+02                   0.0000D+00                    0.0000D+00
 0.7837D+02                   0.0000D+00                    0.0000D+00
 0.8075D+02                   0.0000D+00                    0.0000D+00
 0.8320D+02                   0.0000D+00                    0.0000D+00
 0.8573D+02                   0.0000D+00                    0.0000D+00
 0.8834D+02                   0.0000D+00                    0.0000D+00
 0.9103D+02                   0.0000D+00                    0.0000D+00
 0.9380D+02                   0.0000D+00                    0.0000D+00
 0.9665D+02                   0.0000D+00                    0.0000D+00
 0.9959D+02                   0.0000D+00                    0.0000D+00
 0.1026D+03                   0.0000D+00                    0.0000D+00
 0.1057D+03                   0.0000D+00                    0.0000D+00
 0.1090D+03                   0.0000D+00                    0.0000D+00
 0.1123D+03                   0.0000D+00                    0.0000D+00
 0.1157D+03                   0.0000D+00                    0.0000D+00
 0.1192D+03                   0.0000D+00                    0.0000D+00
 0.1228D+03                   0.0000D+00                    0.0000D+00
 0.1266D+03                   0.0000D+00                    0.0000D+00
 0.1304D+03                   0.1028D-04                    0.1194D+02
 0.1344D+03                   0.0000D+00                    0.0000D+00
 0.1385D+03                   0.0000D+00                    0.0000D+00
 0.1427D+03                   0.4221D-03                    0.6418D+03
 0.1470D+03                   0.2228D-02                    0.3705D+04
 0.1515D+03                   0.6339D-02                    0.1154D+05
 0.1561D+03                   0.1323D-01                    0.2635D+05
 0.1608D+03                   0.2270D-01                    0.4946D+05
 0.1657D+03                   0.3379D-01                    0.8052D+05
 0.1708D+03                   0.4485D-01                    0.1169D+06
 0.1760D+03                   0.5376D-01                    0.1533D+06
 0.1813D+03                   0.5832D-01                    0.1820D+06
 0.1868D+03                   0.5666D-01                    0.1934D+06
 0.1925D+03                   0.4789D-01                    0.1789D+06
 0.1984D+03                   0.3279D-01                    0.1340D+06
 0.2044D+03                   0.1461D-01                    0.6531D+05
 0.2106D+03                   0.0000D+00                    0.0000D+00
 0.2170D+03                   0.0000D+00                    0.0000D+00
 0.2236D+03                   0.3113D-01                    0.1822D+06
 0.2304D+03                   0.1147D+00                    0.7344D+06
 0.2374D+03                   0.2759D+00                    0.1933D+07
 0.2446D+03                   0.5433D+00                    0.4165D+07
 0.2521D+03                   0.9481D+00                    0.7951D+07
 0.2597D+03                   0.1523D+01                    0.1398D+08
 0.2676D+03                   0.2304D+01                    0.2313D+08
 0.2758D+03                   0.3326D+01                    0.3652D+08
 0.2842D+03                   0.4625D+01                    0.5557D+08
 0.2928D+03                   0.6238D+01                    0.8200D+08
 0.3017D+03                   0.8202D+01                    0.1179D+09
 0.3109D+03                   0.1055D+02                    0.1660D+09
 0.3203D+03                   0.1333D+02                    0.2294D+09
 0.3301D+03                   0.1656D+02                    0.3118D+09
