

                                                                                 
                                                                                 


 Solution Properties:

 Integral  (#/cc)                        =        0.1112D+07
 Log-mean particle diameter (microns)    =        0.5625D+03
 Geometric standard deviation            =        0.1811D+01
 Integral of (f''(x))^2                  =        0.1255D+13


 Smoothing parameter (CGCV)              =        0.4983D-12
 Tolerance used to find target (tol(2))  =        0.2500D+00
 Smoothing choice functional             =        0.6945D+02
 Quadratic functional                    =        0.1137D+03
 Interval of kernel function variance    =      ( 0.2558D+01, 0.4947D+03)
 Dimension of solution vector            =               201

 Lower interval diameter (microns)       =        0.2500D+01

 Upper interval diameter (microns)       =        0.1000D+04


 Number distribution and volume distribution:

   dia.                      dN/dlog[dia.]                 dV/dlog[dia.]
 (microns)                      (1/cm^3)                 ((microns/cm)^3)

 0.2500D+01                   0.0000D+00                    0.0000D+00
 0.2576D+01                   0.0000D+00                    0.0000D+00
 0.2654D+01                   0.0000D+00                    0.0000D+00
 0.2735D+01                   0.0000D+00                    0.0000D+00
 0.2818D+01                   0.0000D+00                    0.0000D+00
 0.2904D+01                   0.0000D+00                    0.0000D+00
 0.2992D+01                   0.0000D+00                    0.0000D+00
 0.3083D+01                   0.0000D+00                    0.0000D+00
 0.3177D+01                   0.0000D+00                    0.0000D+00
 0.3274D+01                   0.0000D+00                    0.0000D+00
 0.3373D+01                   0.0000D+00                    0.0000D+00
 0.3476D+01                   0.0000D+00                    0.0000D+00
 0.3581D+01                   0.0000D+00                    0.0000D+00
 0.3690D+01                   0.0000D+00                    0.0000D+00
 0.3803D+01                   0.0000D+00                    0.0000D+00
 0.3918D+01                   0.0000D+00                    0.0000D+00
 0.4037D+01                   0.0000D+00                    0.0000D+00
 0.4160D+01                   0.0000D+00                    0.0000D+00
 0.4287D+01                   0.3326D+03                    0.1372D+05
 0.4417D+01                   0.1162D+04                    0.5245D+05
 0.4551D+01                   0.2528D+04                    0.1248D+06
 0.4690D+01                   0.4381D+04                    0.2366D+06
 0.4832D+01                   0.6612D+04                    0.3907D+06
 0.4979D+01                   0.9076D+04                    0.5867D+06
 0.5131D+01                   0.1162D+05                    0.8217D+06
 0.5287D+01                   0.1408D+05                    0.1090D+07
 0.5448D+01                   0.1633D+05                    0.1382D+07
 0.5613D+01                   0.1823D+05                    0.1689D+07
 0.5784D+01                   0.1971D+05                    0.1997D+07
 0.5960D+01                   0.2069D+05                    0.2293D+07
 0.6141D+01                   0.2115D+05                    0.2565D+07
 0.6328D+01                   0.2108D+05                    0.2797D+07
 0.6520D+01                   0.2052D+05                    0.2979D+07
 0.6719D+01                   0.1952D+05                    0.3099D+07
 0.6923D+01                   0.1813D+05                    0.3150D+07
 0.7133D+01                   0.1645D+05                    0.3127D+07
 0.7350D+01                   0.1457D+05                    0.3029D+07
 0.7574D+01                   0.1257D+05                    0.2859D+07
 0.7804D+01                   0.1055D+05                    0.2625D+07
 0.8042D+01                   0.8580D+04                    0.2336D+07
 0.8286D+01                   0.6744D+04                    0.2009D+07
 0.8538D+01                   0.5094D+04                    0.1660D+07
 0.8798D+01                   0.3671D+04                    0.1309D+07
 0.9065D+01                   0.2498D+04                    0.9744D+06
 0.9341D+01                   0.1581D+04                    0.6747D+06
 0.9625D+01                   0.9086D+03                    0.4242D+06
 0.9918D+01                   0.4549D+03                    0.2324D+06
 0.1022D+02                   0.1825D+03                    0.1020D+06
 0.1053D+02                   0.4656D+02                    0.2847D+05
 0.1085D+02                   0.0000D+00                    0.0000D+00
 0.1118D+02                   0.0000D+00                    0.0000D+00
 0.1152D+02                   0.1514D+02                    0.1212D+05
 0.1187D+02                   0.2883D+02                    0.2525D+05
 0.1223D+02                   0.3458D+02                    0.3313D+05
 0.1260D+02                   0.3209D+02                    0.3364D+05
 0.1299D+02                   0.2423D+02                    0.2779D+05
 0.1338D+02                   0.1476D+02                    0.1853D+05
 0.1379D+02                   0.6789D+01                    0.9319D+04
 0.1421D+02                   0.1920D+01                    0.2884D+04
 0.1464D+02                   0.9539D-01                    0.1567D+03
 0.1509D+02                   0.0000D+00                    0.0000D+00
 0.1554D+02                   0.7019D-01                    0.1380D+03
 0.1602D+02                   0.3528D-01                    0.7591D+02
 0.1650D+02                   0.0000D+00                    0.0000D+00
 0.1701D+02                   0.0000D+00                    0.0000D+00
 0.1752D+02                   0.0000D+00                    0.0000D+00
 0.1806D+02                   0.0000D+00                    0.0000D+00
 0.1861D+02                   0.0000D+00                    0.0000D+00
 0.1917D+02                   0.0000D+00                    0.0000D+00
 0.1975D+02                   0.0000D+00                    0.0000D+00
 0.2035D+02                   0.0000D+00                    0.0000D+00
 0.2097D+02                   0.0000D+00                    0.0000D+00
 0.2161D+02                   0.0000D+00                    0.0000D+00
 0.2227D+02                   0.0000D+00                    0.0000D+00
 0.2295D+02                   0.0000D+00                    0.0000D+00
 0.2364D+02                   0.0000D+00                    0.0000D+00
 0.2436D+02                   0.0000D+00                    0.0000D+00
 0.2510D+02                   0.0000D+00                    0.0000D+00
 0.2587D+02                   0.0000D+00                    0.0000D+00
 0.2665D+02                   0.0000D+00                    0.0000D+00
 0.2746D+02                   0.0000D+00                    0.0000D+00
 0.2830D+02                   0.0000D+00                    0.0000D+00
 0.2916D+02                   0.0000D+00                    0.0000D+00
 0.3005D+02                   0.0000D+00                    0.0000D+00
 0.3096D+02                   0.0000D+00                    0.0000D+00
 0.3190D+02                   0.0000D+00                    0.0000D+00
 0.3287D+02                   0.0000D+00                    0.0000D+00
 0.3387D+02                   0.0000D+00                    0.0000D+00
 0.3490D+02                   0.0000D+00                    0.0000D+00
